Prueba;Cantidad de datos;Teórico ;Real 
Gnome sort;10;100;0.0015
Gnome sort;100;10,000;0.027
Gnome sort;1000;1,000,000;0.129
Gnome sort;3000;9,000,000;0.378
Merge sort;10;10;0.078
Merge sort;100;200;0.362
Merge sort;1000;3,000;1.17
Merge sort;3000;10,431;3.32
Quick sort;10;10;0.073
Quick sort;100;200;1.53
Quick sort;1000;3,000;8.34
Quick sort;3000;10,431;19.5
Selection sort;10;10;0.052
Selection sort;100;100;0.502
Selection sort;1000;1,000;13.1
Selection sort;3000;3,000;27.9
Bubble sort;10;100;0.204
Bubble sort;100;10,000;0.739
Bubble sort;1000;1,000,000;23.4
Bubble sort;3000;9,000,000;98.9
